Stage,Date,Reason
Stage 1,2025-08-01,Lack of guidance
Stage 1,2025-08-02,Interface confusing
Stage 1,2025-08-03,Lack of guidance
Stage 1,2025-08-04,Lack of motivation
Stage 1,2025-08-05,Interface confusing
Stage 1,2025-08-06,Lack of guidance
Stage 1,2025-08-07,Lack of motivation
Stage 1,2025-08-08,Interface confusing
Stage 1,2025-08-09,Lack of guidance
Stage 1,2025-08-10,Lack of motivation
Stage 1,2025-08-11,Lack of guidance
Stage 1,2025-08-12,Interface confusing
Stage 1,2025-08-13,Lack of motivation
Stage 1,2025-08-14,Lack of guidance
Stage 1,2025-08-15,Interface confusing
Stage 1,2025-08-16,Lack of guidance
Stage 1,2025-08-17,Lack of motivation
Stage 1,2025-08-18,Lack of guidance
Stage 1,2025-08-19,Interface confusing
Stage 1,2025-08-20,Lack of motivation
Stage 1,2025-08-21,Lack of guidance
Stage 1,2025-08-22,Interface confusing
Stage 1,2025-08-23,Lack of guidance
Stage 1,2025-08-24,Lack of motivation
Stage 1,2025-08-25,Lack of guidance
Stage 1,2025-08-26,Interface confusing
Stage 1,2025-08-27,Lack of motivation
Stage 1,2025-08-28,Lack of guidance
Stage 1,2025-08-29,Interface confusing
Stage 1,2025-08-30,Lack of guidance
Stage 1,2025-08-31,Lack of motivation
Stage 1,2025-09-01,Lack of guidance
Stage 1,2025-09-02,Interface confusing
Stage 1,2025-09-03,Lack of motivation
Stage 1,2025-09-04,Lack of guidance
Stage 1,2025-09-05,Interface confusing
Stage 1,2025-09-06,Lack of guidance
Stage 1,2025-09-07,Lack of motivation
Stage 1,2025-09-08,Lack of guidance
Stage 1,2025-09-09,Interface confusing
Stage 1,2025-09-10,Lack of motivation
Stage 1,2025-09-11,Lack of guidance
Stage 1,2025-09-12,Interface confusing
Stage 1,2025-09-13,Lack of motivation
Stage 1,2025-09-14,Lack of guidance
Stage 1,2025-09-15,Interface confusing
Stage 1,2025-09-16,Lack of guidance
Stage 1,2025-09-17,Lack of motivation
Stage 1,2025-09-18,Lack of guidance
Stage 1,2025-09-19,Interface confusing
Stage 1,2025-09-20,Lack of motivation
Stage 1,2025-09-21,Lack of guidance
Stage 1,2025-09-22,Interface confusing
Stage 1,2025-09-23,Lack of guidance
Stage 1,2025-09-24,Lack of motivation
Stage 1,2025-09-25,Lack of guidance
Stage 1,2025-09-26,Interface confusing
Stage 1,2025-09-27,Lack of motivation
Stage 1,2025-09-28,Lack of guidance
Stage 1,2025-09-29,Interface confusing
Stage 1,2025-09-30,Lack of guidance
Stage 1,2025-10-01,Lack of motivation
Stage 1,2025-10-02,Lack of guidance
Stage 1,2025-10-03,Interface confusing
Stage 1,2025-10-04,Lack of motivation
Stage 1,2025-10-05,Lack of guidance
Stage 1,2025-10-06,Interface confusing
Stage 1,2025-10-07,Lack of guidance
Stage 1,2025-10-08,Lack of motivation
Stage 1,2025-10-09,Lack of guidance
Stage 1,2025-10-10,Interface confusing
Stage 1,2025-10-11,Lack of motivation
Stage 1,2025-10-12,Lack of guidance
Stage 1,2025-10-13,Interface confusing
Stage 1,2025-10-14,Lack of motivation
Stage 1,2025-10-15,Lack of guidance
Stage 1,2025-10-16,Interface confusing
Stage 1,2025-10-17,Lack of guidance
Stage 1,2025-10-18,Lack of motivation
Stage 1,2025-10-19,Lack of guidance
Stage 1,2025-10-20,Interface confusing
Stage 1,2025-10-21,Lack of motivation
Stage 1,2025-10-22,Lack of guidance
Stage 1,2025-10-23,Interface confusing
Stage 1,2025-10-24,Lack of guidance
Stage 1,2025-10-25,Lack of motivation
Stage 1,2025-10-26,Lack of guidance
Stage 1,2025-10-27,Interface confusing
Stage 1,2025-10-28,Lack of motivation
Stage 1,2025-10-29,Lack of guidance
Stage 1,2025-10-30,Interface confusing
Stage 1,2025-10-31,Lack of guidance
Stage 2,2025-08-01,Lack of guidance
Stage 2,2025-08-02,Interface confusing
Stage 2,2025-08-03,Lack of motivation
Stage 2,2025-08-04,Lack of guidance
Stage 2,2025-08-05,Interface confusing
Stage 2,2025-08-06,Lack of motivation
Stage 2,2025-08-07,Lack of guidance
Stage 2,2025-08-08,Interface confusing
Stage 2,2025-08-09,Lack of guidance
Stage 2,2025-08-10,Lack of motivation
Stage 2,2025-08-11,Interface confusing
Stage 2,2025-08-12,Lack of guidance
Stage 2,2025-08-13,Lack of motivation
Stage 2,2025-08-14,Interface confusing
Stage 2,2025-08-15,Lack of guidance
Stage 2,2025-08-16,Lack of motivation
Stage 2,2025-08-17,Interface confusing
Stage 2,2025-08-18,Lack of guidance
Stage 2,2025-08-19,Lack of motivation
Stage 2,2025-08-20,Interface confusing
Stage 2,2025-08-21,Lack of guidance
Stage 2,2025-08-22,Lack of motivation
Stage 2,2025-08-23,Interface confusing
Stage 2,2025-08-24,Lack of guidance
Stage 2,2025-08-25,Lack of motivation
Stage 2,2025-08-26,Interface confusing
Stage 2,2025-08-27,Lack of guidance
Stage 2,2025-08-28,Lack of motivation
Stage 2,2025-08-29,Interface confusing
Stage 2,2025-08-30,Lack of guidance
Stage 2,2025-08-31,Lack of motivation
Stage 2,2025-09-01,Interface confusing
Stage 2,2025-09-02,Lack of guidance
Stage 2,2025-09-03,Lack of motivation
Stage 2,2025-09-04,Interface confusing
Stage 2,2025-09-05,Lack of guidance
Stage 2,2025-09-06,Lack of motivation
Stage 2,2025-09-07,Interface confusing
Stage 2,2025-09-08,Lack of guidance
Stage 2,2025-09-09,Lack of motivation
Stage 2,2025-09-10,Interface confusing
Stage 2,2025-09-11,Lack of guidance
Stage 2,2025-09-12,Lack of motivation
Stage 2,2025-09-13,Interface confusing
Stage 2,2025-09-14,Lack of guidance
Stage 2,2025-09-15,Lack of motivation
Stage 2,2025-09-16,Interface confusing
Stage 2,2025-09-17,Lack of guidance
Stage 2,2025-09-18,Lack of motivation
Stage 2,2025-09-19,Interface confusing
Stage 2,2025-09-20,Lack of guidance
Stage 2,2025-09-21,Lack of motivation
Stage 2,2025-09-22,Interface confusing
Stage 2,2025-09-23,Lack of guidance
Stage 2,2025-09-24,Lack of motivation
Stage 2,2025-09-25,Interface confusing
Stage 2,2025-09-26,Lack of guidance
Stage 2,2025-09-27,Lack of motivation
Stage 2,2025-09-28,Interface confusing
Stage 2,2025-09-29,Lack of guidance
Stage 2,2025-09-30,Lack of motivation
Stage 2,2025-10-01,Interface confusing
Stage 2,2025-10-02,Lack of guidance
Stage 2,2025-10-03,Lack of motivation
Stage 2,2025-10-04,Interface confusing
Stage 2,2025-10-05,Lack of guidance
Stage 2,2025-10-06,Lack of motivation
Stage 2,2025-10-07,Interface confusing
Stage 2,2025-10-08,Lack of guidance
Stage 2,2025-10-09,Lack of motivation
Stage 2,2025-10-10,Interface confusing
Stage 2,2025-10-11,Lack of guidance
Stage 2,2025-10-12,Lack of motivation
Stage 2,2025-10-13,Interface confusing
Stage 2,2025-10-14,Lack of guidance
Stage 2,2025-10-15,Lack of motivation
Stage 2,2025-10-16,Interface confusing
Stage 2,2025-10-17,Lack of guidance
Stage 2,2025-10-18,Lack of motivation
Stage 2,2025-10-19,Interface confusing
Stage 2,2025-10-20,Lack of guidance
Stage 2,2025-10-21,Lack of motivation
Stage 2,2025-10-22,Interface confusing
Stage 2,2025-10-23,Lack of guidance
Stage 2,2025-10-24,Lack of motivation
Stage 2,2025-10-25,Interface confusing
Stage 2,2025-10-26,Lack of guidance
Stage 2,2025-10-27,Lack of motivation
Stage 2,2025-10-28,Interface confusing
Stage 2,2025-10-29,Lack of guidance
Stage 2,2025-10-30,Lack of motivation
Stage 2,2025-10-31,Interface confusing
Stage 3,2025-08-01,Lack of guidance
Stage 3,2025-08-02,Lack of motivation
Stage 3,2025-08-03,Interface confusing
Stage 3,2025-08-04,Lack of guidance
Stage 3,2025-08-05,Lack of motivation
Stage 3,2025-08-06,Interface confusing
Stage 3,2025-08-07,Lack of guidance
Stage 3,2025-08-08,Lack of motivation
Stage 3,2025-08-09,Interface confusing
Stage 3,2025-08-10,Lack of guidance
Stage 3,2025-08-11,Lack of motivation
Stage 3,2025-08-12,Interface confusing
Stage 3,2025-08-13,Lack of guidance
Stage 3,2025-08-14,Lack of motivation
Stage 3,2025-08-15,Interface confusing
Stage 3,2025-08-16,Lack of guidance
Stage 3,2025-08-17,Lack of motivation
Stage 3,2025-08-18,Interface confusing
Stage 3,2025-08-19,Lack of guidance
Stage 3,2025-08-20,Lack of motivation
Stage 3,2025-08-21,Interface confusing
Stage 3,2025-08-22,Lack of guidance
Stage 3,2025-08-23,Lack of motivation
Stage 3,2025-08-24,Interface confusing
Stage 3,2025-08-25,Lack of guidance
Stage 3,2025-08-26,Lack of motivation
Stage 3,2025-08-27,Interface confusing
Stage 3,2025-08-28,Lack of guidance
Stage 3,2025-08-29,Lack of motivation
